formType,teamnum,matchNum,autoReachD,autoShotSS,HiGAttempt,HiGAttain,LoGAttain,batter,scaleAttempt,scaleSuccess,broken,CDFCross,DBCross,LBCross,MoatCross,PCCross,RPCross,RWCross,RTCross,SPCross,autoCrossD,autoShotAtp,_id,_rev,language,views,redAlliance,blueAlliance,ballpick,drivetrain,aim,shooter,hpInfo
match,3930,32,on,on,0,0,1,YES,on,on,,0,0,0,0,2,0,0,0,0,PC,none,4e9d749d-10b2-1891-61b3-dfb124858cb0,1-196c8e3b725f6f1d7e9f3cc73a504233,,,,,,,,,
match,2523,44,YES,on,1,0,0,YES,YES,on,,0,0,0,0,0,0,2,0,0,N,none,4ef89e31-dbf3-5560-7f8e-5490a64a2ad5,1-18eec50355e62428b282a68590043375,,,,,,,,,
match,4958,55,on,on,0,0,0,on,on,on,,0,0,0,0,0,3,0,0,1,N,none,514c4462-7db5-00f9-7b39-1ad08842d5ba,1-233f33b8ebce1b852939963764f2c06a,,,,,,,,,
match,4546,20,YES,on,4,2,0,YES,on,on,,0,0,0,0,0,2,1,0,0,RP,none,544e5b16-e1db-db83-0f1d-2bdcdbe5ee4a,1-43e4377afef2ef58dfe3483f9056d532,,,,,,,,,
match,4546,35,YES,on,1,3,0,YES,on,on,,0,0,0,0,0,0,3,0,0,RW,none,5d0787d8-0756-9554-d51e-2895cd451104,1-3b8e035397941c97ad6d2039c90a9178,,,,,,,,,
match,4041,50,YES,on,0,0,0,YES,on,on,,0,0,0,2,1,0,0,0,0,M,none,60905021-874f-d4a4-2a90-f1d95867eee2,1-7bc41bdb24d95c0d97a0555dac7102e3,,,,,,,,,
pit,172,,,,,,,,,,,,,,,,,,,,,,631697c9-7b3c-53ee-0094-e918a47d4a3b,1-4cb83ac2b6123d2940fc46a47a3d7bf0,,,,,YES,tank,IR,wheel,"good at defending and can breach
"
match,3451,30,YES,on,2,0,0,YES,on,on,,0,0,0,0,0,2,1,0,2,N,none,65322149-b99e-8243-6c3f-a9b6fc60ae55,1-c0914a1e79798550fc4cb2be875cfddb,,,,,,,,,
match,2523,37,YES,on,0,0,1,on,YES,on,,0,0,0,0,0,0,0,2,0,RW,none,66efa3ac-e169-3921-06b1-93ae7800ce71,1-6f5896509bbedf872361be84fbcff98a,,,,,,,,,
match,4564,20,on,on,5,4,0,YES,YES,YES,,0,0,2,0,1,0,0,0,0,PC,none,67755aa9-de46-823c-6eea-6df7970acef1,1-6b239ee95f87b73abe11d506c55328f0,,,,,,,,,
match,5687,36,on,on,3,1,0,YES,on,on,,1,1,0,0,0,0,0,0,0,M,none,68d28f4b-9619-9563-48b7-e151cbb44728,1-2e60d825150c07b75fdb4cb053136364,,,,,,,,,
match,172,58,YES,on,0,0,1,YES,on,on,,0,0,1,0,0,0,0,0,0,M,none,68d68c84-921c-a32d-c0ec-7cc171d5d979,1-311d4f7ae221cdec4384c9d16daa17c6,,,,,,,,,
match,2523,30,YES,on,1,0,1,on,on,on,,0,0,0,0,0,1,0,0,0,N,none,6b33bd86-e7e0-fe32-b9e5-7911f78e142e,1-4383f7714752f4442b14b1490f889e77,,,,,,,,,
match,716,42,YES,on,0,0,2,YES,on,on,,0,0,1,0,0,1,1,2,0,LB,none,6c6f3120-83ec-40b7-8cd8-1b9bc92e7699,1-cc2644c1eeb62529f242bcc59bc329f4,,,,,,,,,
pit,4555,,,,,,,,,,,,,,,,,,,,,,6e2ac86c-67ee-7e95-1e9d-69e4cc690dd6,1-45ce31c40d37e2f85854d64c403d3796,,,,,on,west,DR,none,can breach all the defences
match,4555,34,on,on,0,0,0,on,on,on,,0,0,1,0,1,2,0,0,0,LB,none,6ed1b377-1403-ab0e-a253-c6509fd116c1,1-39c44ee5b9979c62e0c166049e468530,,,,,,,,,
match,6224,53,YES,on,0,0,1,YES,on,on,,0,0,1,0,0,0,0,0,0,N,none,6fe6ecdb-311d-cae1-000b-7ea203ecfae1,1-a12c1c60908795c707529e20f32e1de9,,,,,,,,,
match,4041,32,YES,on,1,0,0,on,on,on,fell over,0,0,0,0,0,0,0,3,1,RT,none,711fbae0-e040-e5c0-d317-91416163c346,1-225dada4b065a633476a46f3c104d93e,,,,,,,,,
match,4473,5,on,on,1,1,2,YES,on,on,,0,0,0,0,0,0,1,0,1,RW,none,71e3e9e7-81c9-ceb3-4367-d91f9b14531c,1-610815f105884e3535874d5a39076c2e,,,,,,,,,
match,5471,18,on,on,0,0,0,on,on,on,did not move,0,0,0,0,0,0,0,0,0,N,none,73cda00c-5ab0-7355-62d2-4d6d4e412797,1-7ba1b4f3aed691246300497dcb44a7a0,,,,,,,,,
match,2523,53,on,on,0,0,0,YES,on,on,,0,0,0,0,0,0,1,0,1,N,none,749bdc5d-cea5-7f67-e9a8-30d0549e5417,1-9bbca2dbbf89523659b2ea09854f6574,,,,,,,,,
match,4564,24,YES,on,7,7,0,YES,YES,YES,,0,0,0,0,1,0,0,0,0,PC,none,76382a66-9cf4-a58e-fbfd-22109b7d02d7,1-cfe5c90facdc2cf2613f9757fd5685cb,,,,,,,,,
match,6153,42,on,on,0,0,3,YES,on,on,,0,1,1,0,0,1,0,2,0,LB,none,76b878a2-fb59-3d9d-e1fd-8a17701f2c52,1-511c0e7b49154caea11055bf20874e2a,,,,,,,,,
match,5687,42,YES,on,3,3,0,YES,on,on,,1,0,0,0,0,0,0,2,0,RP,none,7a31ece1-304c-ec33-3d33-c47ce61ef089,1-47a45b86c96b348022d03eb0bc0ca203,,,,,,,,,
match,5265,41,YES,on,0,0,0,on,on,on,stoppe working with pieces on the field,0,0,0,0,0,0,0,1,0,N,none,7a5cfcad-4012-3d2d-2cdb-dccf80bee01c,1-d1a9fbc01fec29c3ab6847b07dfd87e7,,,,,,,,,
match,230,58,YES,on,7,4,0,YES,on,on,,0,0,3,0,0,0,0,0,0,LB,none,7acb359d-5ed5-a378-5ed9-c9cd816542e6,1-9db541a65992234caf1307848b3534b4,,,,,,,,,
pit,3930,,,,,,,,,,,,,,,,,,,,,,7f655349-9cd3-65fd-d172-cca1accd9a5d,1-87f5a01c587c18d1f7bc51bc1f63bfd6,,,,,YES,tread,IR,wheel,"fast breach of all defences
"
match,166,24,YES,on,1,1,0,YES,on,on,,0,0,2,0,0,1,3,0,0,N,none,7f8e6cb9-d225-f18c-91b4-fc3fe45928b9,1-4ff9db6c5263e493c5725bf220c87e0a,,,,,,,,,
match,4546,44,YES,on,3,2,0,YES,on,on,,0,0,0,0,0,1,3,1,0,RP,none,7f996162-b076-a2a9-1094-a82f03dc6231,1-9c7a2010d84a29984d071f2c146a05ec,,,,,,,,,
match,3585,55,on,on,0,0,0,on,on,on,barely mov%u0113d,0,0,0,0,0,0,0,0,0,N,none,80b5a467-3440-7d93-54bb-89b390583e81,1-5d18d5e7c94ec8ea8eaa21b1eb72078f,,,,,,,,,
match,4925,44,on,YES,2,1,0,YES,on,on,,0,0,0,0,0,0,0,0,0,N,none,81c4ded4-ab40-7b57-85b1-28f8db234ab8,1-1964db14d19475140fa62952f0747a7d,,,,,,,,,
match,3597,49,YES,on,0,0,0,on,on,on,,0,0,0,2,0,0,0,0,0,N,none,81d2eec9-5649-3734-ee6c-5fb897cb4292,1-c9b4c1b9b076346484240f96ead31aa1,,,,,,,,,
match,6224,8,on,on,0,0,0,on,on,on,,0,0,2,0,1,3,0,0,0,N,none,81fb93fd-22e1-fd00-ba01-d808df6aaaf6,1-5d21ca29d3ff2b71c19688f8ff3140ef,,,,,,,,,
match,4958,7,YES,on,0,0,0,on,on,on,,0,0,3,0,0,0,0,0,0,LB,none,8597429e-1bd3-6f45-ee29-104235ede1bf,1-8e283d7c8a46663cb16e3b8c8969f626,,,,,,,,,
match,663,41,YES,on,0,0,3,YES,on,on,,0,0,3,0,0,0,2,0,0,LB,none,86dc2858-2eae-5636-9a6d-a3f2853c73b2,1-3ad73f3a2ed6639f2580b547f8f3a682,,,,,,,,,
