formType,teamnum,matchNum,autoReachD,autoShotSS,HiGAttempt,HiGAttain,LoGAttain,PCCross,LBCross,CDFCross,MoatCross,SPCross,DBCross,RTCross,RWCross,RPCross,scaleAttempt,scaleSuccess,broken,autoCrossD,autoShotAtp,matchnum,ballpick,drivetrain,aim,shooter,language,views,redAlliance,blueAlliance,_id,_rev
match,1058,3,YES,on,0,0,1,0,0,2,0,0,0,0,2,0,YES,YES,,RW,none,,,,,,,,,,84e0ba43-5882-8acc-dc2d-a3c609457151,1-dc91df466ecbe1d064fd625a00cff36b
match,4761,14,on,on,0,0,1,0,0,0,0,0,0,0,0,1,on,on,,N,none,,,,,,,,,,86e6d2ab-b97a-fb6e-d291-9974e9086429,1-cdc2e97a517026132057551748ed476c
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,8a4039d7-c765-18fc-c290-7b94e18a8ad6,1-cf0b7520f8525252b151a82627b41efc
pit,1073,,,,,,,,,,,,,,,,,,,,,,YES,west,DR,canon,,,,,8f6145d8-11b1-a4a1-80fc-0c50111ffe00,1-ddd20799679a6b4805cc8d7cc6051b81
match,58,13,YES,on,0,0,0,0,0,0,1,0,0,0,0,0,on,on,,N,none,,,,,,,,,,8fb2c6cd-57d6-b339-f731-e28250a93362,1-c5e12b214115a2d7ffae86b30c0b527e
pit,319,,,,,,,,,,,,,,,,,,,,,,YES,tank,IR,wheel,,,,,930da5ee-afb3-e323-ba79-cee5fc80f72c,1-8e3a07fe60f7b5f2bf2fc0529a081dee
match,4909,12,on,on,2,0,0,0,0,0,0,0,0,0,3,0,on,on,,N,none,,,,,,,,,,9740b935-adfe-7e13-653a-3d9b5f4164e0,1-978efe92a70d088ae35c141f4d549842
pit,58,,,,,,,,,,,,,,,,,,,,,,on,tread,DR,cat,,,,,9752d47e-e96b-107d-05a2-62162f00f816,1-02faaf2b925531ed14be2a5ad2adaf90
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,98e23c81-ca33-5c3c-c916-fbacc4c945a2,1-faed462d9a34dc0a8abac1eb91727063
match,133,7,YES,YES,3,3,0,0,3,2,0,0,0,0,0,0,on,on,,LB,Hi,,,,,,,,,,9ac140dd-5f24-4d91-0428-c69716f7f77a,1-75421759b4b5aaa7bdf747686f735038
match,2423,2,on,on,0,0,0,0,0,0,1,0,0,0,0,0,on,on,,N,none,,,,,,,,,,9af860d1-56bf-8c53-e4f3-8810d87ff7b7,1-821549b7ecf4595347901a8788fc7289
match,4169,7,on,on,0,0,0,0,3,0,0,0,,0,0,1,on,on,challenged the tower with 50 seconds left,N,none,,,,,,,,,,9d4e3c5f-5baf-1bd2-b3de-9110ebf2904e,1-7ff8645138ee50c3fd41bfe15453707d
match,3566,5,YES,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,got stuck on the rock wall,N,none,,,,,,,,,,a1aa5bd2-a3e8-36f3-6f7d-e4d40f5a73a0,1-6b73211bc8ec8af430e33e3eb5bcac2e
match,1761,5,on,on,0,0,0,0,0,0,0,0,0,0,0,1,on,on,just stopped moving ,N,none,,,,,,,,,,a1cb712f-7fe7-1e65-f963-60872afe3ee4,1-b553400e188c27b3f7f52e85f730af0a
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,a35ec5be-748c-60c8-644f-17b4158002db,1-376d4ec0a90eaccd89bced0c7f531f42
match,5263,5,on,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,NO SHOW,N,none,,,,,,,,,,a4071a0a-2396-5780-afc3-c0432a13826d,1-18dca195d4410c8fb1d69366780a6491
match,4311,3,YES,on,0,0,0,0,1,0,0,0,0,0,0,2,on,on,,RP,none,,,,,,,,,,a4f7e856-821b-0509-b63a-c4f5779d238b,1-c7c605efe0fd6eaa5ea35d6757c09b88
pit,246,,,,,,,,,,,,,,,,,,,,,,YES,west,DR,wheel,,,,,a805a005-f65b-212d-c04c-3bbc57c46837,1-3457f3e0c6cd3d14904bc5262cb30e1a
pit,4474,,,,,,,,,,,,,,,,,,,,,,on,tank,DR,none,,,,,a98e93c3-ff04-fd48-e42b-9088f11d9e31,1-59772deeb320af8502c372501a42cf11
match,5347,13,on,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,,N,none,,,,,,,,,,ac05262e-3632-5127-a3a0-985f7469d556,1-985bf73b9da905511c99456559fec0fa
match,4151,7,on,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,didn't move,N,none,,,,,,,,,,b095decd-976a-4f70-1500-570877b3fd7c,1-aa8b0779ad01d2dfed255973ce30bdb2
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,b0e09e92-4f6e-89fd-253a-cf7cad4aacc9,1-0706ee4a67c0ffa791b07af4fa41bd75
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,b2c7176c-14a9-76f8-8e2a-b481ac5cb9a6,1-f12205a9833397314340474d89bf94c8
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,b41b76fa-4ee3-8ce0-2470-a6e50aebd27e,1-1103be61b352f54e935ecdae5da06378
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,b649b014-aac3-81ea-21fe-543094158018,1-049fe7affc20f84c86ccc2e20a750da4
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,b80fdc7b-2516-7cd8-d9a3-350e6060ff21,1-0d6132d1443dd113b2e99fc9ce937aa5
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,b8a27582-6984-ce00-8330-9c113812cbea,1-aea7cd446c8a1cd5444b2942b40748e5
match,1965,11,on,on,0,0,0,0,1,0,0,0,0,0,0,0,on,on,just defence,N,none,,,,,,,,,,b91e3155-e03c-bb5f-ee7e-be797531d575,1-e879bb58fae6588c1707078d54a23837
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,bed408ce-5b9e-fa94-3d71-5a7659f4edbb,1-3f35d362d47b1bc406de69b09c8fa102
match,4311,3,on,on,1,1,0,0,2,0,0,0,0,0,0,0,on,on,,RP,none,,,,,,,,,,bf230e9c-a7ef-46d9-5999-33224349e2db,1-e54576eb372ca5c1eb4c4a667dec3e87
