formType,teamnum,matchNum,autoReachD,autoShotSS,HiGAttempt,HiGAttain,LoGAttain,PCCross,LBCross,CDFCross,MoatCross,SPCross,DBCross,RTCross,RWCross,RPCross,scaleAttempt,scaleSuccess,broken,autoCrossD,autoShotAtp,matchnum,ballpick,drivetrain,aim,shooter,language,views,redAlliance,blueAlliance,_id,_rev
match,6161,6,on,on,0,0,0,0,0,0,0,1,0,0,1,0,on,on,stopped working halfway through,N,none,,,,,,,,,,633fb5a9-da55-bd49-cd05-330743640fd4,1-93a66e5681cdcebcfa63f7033072502e
match,1289,32,YES,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,,N,none,,,,,,,,,,646d3394-bd39-f2ae-0ed2-0d009a14b02b,1-407991a38b9a036d6df9c5ee9a0f170a
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,662a8a5c-54b8-eac4-2f49-0f0cf6d537da,1-c54454fe39105c65f9190dd369e8515a
match,5962,1,on,on,0,0,0,0,0,0,5,0,0,0,0,0,on,on,,N,none,,,,,,,,,,696df2e4-68e4-3793-7b83-95a17df82eaf,1-cd3f3394c89608d3072c6467ee53365d
match,1474,,on,on,0,0,0,0,0,0,0,0,0,0,0,,on,on,didnt move,N,none,50,,,,,,,,,6a10fd15-c193-1500-8b73-98adb4c2cb59,1-05a00bd5e9576b23a146474ec827247a
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,6ab087f9-4965-46e6-9345-e323c90b2462,1-74f9f9f8809678c5ffa160ebf2f40226
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,6bfe880d-d7ee-6070-4ae0-8f5d99cab1e7,1-ac1d50e6e9b7afbe01fb410bc4c08732
match,5459,,on,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,,N,none,,,,,,,,,,6d4ae8ea-ae55-19e5-b069-34b563f6e48c,1-3f6a9fd7ab0434811474eb2cfc0c3018
match,1699,3,on,on,2,0,0,0,0,0,0,0,0,0,2,1,on,on,,N,none,,,,,,,,,,6f21be6a-defd-61d8-26ed-e3bef84fffb8,1-fd628827be41e8f84fff182ee5508c41
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,6f82b324-35b7-6391-8728-ec092832353f,1-382edd175f86ab267790343b6937ee09
